<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad","edad_m1","condicion_pil","tipo_vehi","color_vehi","causa_acc"
79,9,"Enero","Lunes",11,"Sacatepéquez","San Lucas Sacatepéquez","Rural","Ignorado","Hombre","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Blanco","Vuelco"
80,10,"Enero","Martes",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","32","30-34","Mayor","Normal","Motocicleta","Celeste","Colisión"
81,10,"Enero","Martes",12,"Quetzaltenango","Quetzaltenango","Urbano","1","Hombre","24","20-24","Mayor","Normal","Automovil","Verde","Colisión"
82,10,"Enero","Martes",1,"Quetzaltenango","Olintepeque","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Bus urbano","Rojo","Colisión"
83,10,"Enero","Martes",19,"San Marcos","San Pedro Sacatepéquez_duplicated_1202","Rural","Ignorado","Hombre","31","30-34","Mayor","Bajo efectos de alcohol","Microbus","Negro","Choque"
84,11,"Enero","Miercoles",9,"Guatemala","Villa Nueva","Rural","4","Hombre","23","20-24","Mayor","Normal","Motocicleta","Negro","Colisión"
85,11,"Enero","Miercoles",11,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","31","30-34","Mayor","Normal","Grua","Ignorado","Vuelco"
86,11,"Enero","Miercoles",17,"Escuintla","Palín","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Normal","Camion","Ignorado","Colisión"
87,11,"Enero","Miercoles",18,"Escuintla","Palín","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Bus extraurbano","Verde","Vuelco"
88,11,"Enero","Miercoles",18,"Quetzaltenango","Quetzaltenango","Rural","2","Hombre","35","35-39","Mayor","Normal","Pick up","Blanco","Colisión"
89,11,"Enero","Miercoles",20,"Totonicapán","San Francisco el Alto","Urbano","1","Ignorado","Ignorado","Ignorado","Ignorado","Normal","Pick up","Ignorado","Colisión"
90,12,"Enero","Jueves",0,"Guatemala","Guatemala","Urbano","3","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Negro","Colisión"
91,12,"Enero","Jueves",5,"Guatemala","Guatemala","Urbano","6","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Azul","Choque"
92,12,"Enero","Jueves",21,"Guatemala","Petapa","Urbano","Ignorado","Hombre","23","20-24","Mayor","Normal","Automovil","Azul","Colisión"
93,12,"Enero","Jueves",18,"Jalapa","San Pedro Pinula","Rural","Ignorado","Hombre","19","15-19","Mayor","Bajo efectos de alcohol","Motocicleta","Rojo","Choque"
94,12,"Enero","Jueves",8,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","51","50-54","Mayor","Normal","Automovil","Corinto","Colisión"
95,12,"Enero","Jueves",8,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","24","20-24","Mayor","Normal","Camion","Blanco","Choque"
96,12,"Enero","Jueves",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","36","35-39","Mayor","Normal","Bus extraurbano","Blanco","Colisión"
97,12,"Enero","Jueves",10,"San Marcos","San Pedro Sacatepéquez_duplicated_1202","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Gris","Vuelco"
98,12,"Enero","Jueves",9,"Alta Verapaz","Lanquín","Rural","Ignorado","Hombre","26","25-29","Mayor","Normal","Motocicleta","Ignorado","Colisión"
99,12,"Enero","Jueves",15,"Quiché","Chiché","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Microbus","Verde","Vuelco"
100,13,"Enero","Sabado",4,"Guatemala","Guatemala","Rural","11","Hombre","22","20-24","Mayor","Bajo efectos de alcohol","Automovil","Blanco","Choque"
101,13,"Enero","Sabado",17,"Jalapa","Monjas","Urbano","Ignorado","Hombre","22","20-24","Mayor","Normal","Motocicleta","Azul","Colisión"
102,13,"Enero","Sabado",23,"Zacapa","Gualán","Urbano","Ignorado","Hombre","31","30-34","Mayor","Ignorado","Pick up","Gris","Choque"
103,13,"Enero","Sabado",20,"Escuintla","Escuintla","Urbano","Ignorado","Hombre","13","Menos de 15","Menor","Ignorado","Motocicleta","Azul","Colisión"
104,14,"Enero","Domingo",3,"Guatemala","Guatemala","Urbano","1","Hombre","35","35-39","Mayor","Ignorado","Automovil","Blanco","Colisión"
105,14,"Enero","Domingo",17,"Guatemala","Guatemala","Urbano","18","Hombre","27","25-29","Mayor","Ignorado","Motocicleta","Negro","Colisión"
106,14,"Enero","Domingo",1,"Guatemala","Guatemala","Urbano","21","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Negro","Colisión"
107,14,"Enero","Domingo",7,"Escuintla","Escuintla","Rural","Ignorado","Hombre","38","35-39","Mayor","Ignorado","Cabezal","Rojo","Colisión"
108,14,"Enero","Domingo",17,"Escuintla","Tiquizate","Rural","Ignorado","Hombre","37","35-39","Mayor","Ignorado","Pick up","Verde","Vuelco"
109,14,"Enero","Domingo",19,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","20","20-24","Mayor","Ignorado","Mototaxi","Rojo","Colisión"
110,14,"Enero","Domingo",1,"Chimaltenango","Patzicía","Rural","Ignorado","Hombre","45","45-49","Mayor","Ignorado","Pick up","Blanco","Colisión"
111,15,"Enero","Domingo",9,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","32","30-34","Mayor","Ignorado","Pick up","Blanco","Colisión"
112,15,"Enero","Domingo",16,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","50","50-54","Mayor","Bajo efectos de alcohol","Automovil","Blanco","Colisión"
113,15,"Enero","Domingo",19,"Jalapa","Jalapa","Rural","Ignorado","Hombre","54","50-54","Mayor","Bajo efectos de alcohol","camioneta","Corinto","Choque"
114,15,"Enero","Domingo",8,"Escuintla","Tiquizate","Rural","Ignorado","Hombre","18","15-19","Mayor","Ignorado","Pick up","Rojo","Vuelco"
115,15,"Enero","Domingo",13,"Escuintla","Escuintla","Rural","Ignorado","Hombre","26","25-29","Mayor","Normal","Pick up","Azul","Vuelco"
116,15,"Enero","Domingo",20,"Santa Rosa","Casillas","Rural","Ignorado","Hombre","28","25-29","Mayor","Normal","Motocicleta","Negro","Colisión"
117,15,"Enero","Domingo",17,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","28","25-29","Mayor","Ignorado","Motocicleta","Blanco","Vuelco"
118,15,"Enero","Domingo",3,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","23","20-24","Mayor","Bajo efectos de alcohol","Motocicleta","Anaranjado","Vuelco"
119,15,"Enero","Domingo",22,"Baja Verapaz","Salamá","Rural","Ignorado","Hombre","16","15-19","Menor","Normal","Motocicleta","Rojo","Colisión"
120,15,"Enero","Domingo",18,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","46","45-49","Mayor","Bajo efectos de alcohol","Motocicleta","Azul","Caida"
121,15,"Enero","Domingo",22,"Petén","Flores","Rural","Ignorado","Hombre","17","15-19","Menor","Normal","Pick up","Verde","Choque"
122,16,"Enero","Lunes",3,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","19","15-19","Mayor","Normal","Automovil","Azul","Colisión"
123,16,"Enero","Lunes",3,"Chiquimula","Chiquimula","Rural","Ignorado","Hombre","26","25-29","Mayor","Normal","Motocicleta","Rojo","Colisión"
124,16,"Enero","Lunes",21,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","28","25-29","Mayor","Bajo efectos de alcohol","Mototaxi","Rojo","Colisión"
125,16,"Enero","Lunes",14,"El Progreso","Guastatoya","Rural","Ignorado","Hombre","36","35-39","Mayor","Normal","Pick up","Azul","Colisión"
126,16,"Enero","Lunes",22,"Petén","Flores","Rural","Ignorado","Hombre","25","25-29","Mayor","Bajo efectos de alcohol","Motocicleta","Rojo","Colisión"
127,17,"Enero","Martes",21,"Guatemala","Guatemala","Urbano","1","Hombre","22","20-24","Mayor","Normal","Pick up","Gris","Colisión"
128,17,"Enero","Martes",21,"Guatemala","Guatemala","Urbano","3","Hombre","35","35-39","Mayor","Normal","Pick up","Verde","Colisión"
129,17,"Enero","Miercoles",16,"Guatemala","Guatemala","Urbano","1","Hombre","50","50-54","Mayor","Normal","Automovil","Amarillo","Colisión"
130,17,"Enero","Martes",20,"Jutiapa","Moyuta","Rural","Ignorado","Hombre","65","55 y más","Mayor","Normal","Cabezal","Blanco","Colisión"
131,17,"Enero","Martes",12,"Quetzaltenango","Salcajá","Rural","Ignorado","Hombre","30","30-34","Mayor","Bajo efectos de alcohol","Pick up","Corinto","Vuelco"
132,18,"Enero","Miercoles",21,"Guatemala","Guatemala","Urbano","1","Hombre","24","20-24","Mayor","Normal","Automovil","Negro","Colisión"
133,18,"Enero","Miercoles",2,"Guatemala","Fraijanes","Rural","Ignorado","Hombre","22","20-24","Mayor","Normal","Motocicleta","Negro","Choque"
134,18,"Enero","Miercoles",23,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","27","25-29","Mayor","Normal","Pick up","Gris","Colisión"
135,18,"Enero","Miercoles",13,"Jalapa","Mataquescuintla","Urbano","Ignorado","Hombre","22","20-24","Mayor","Normal","Motocicleta","Rojo","Colisión"
136,18,"Enero","Miercoles",8,"Santa Rosa","Oratorio","Rural","Ignorado","Hombre","40","40-44","Mayor","Normal","camioneta","Gris","Vuelco"
137,18,"Enero","Miercoles",18,"Santa Rosa","Cuilapa","Rural","Ignorado","Mujer","50","50-54","Mayor","Ignorado","camioneta","Blanco","Caida"
138,18,"Enero","Miercoles",2,"Suchitepéquez","Mazatenango","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Negro","Choque"
139,18,"Enero","Miercoles",17,"Retalhuleu","Santa Cruz Muluá","Rural","Ignorado","Hombre","19","15-19","Mayor","Bajo efectos de alcohol","Mototaxi","Rojo","Colisión"
140,18,"Enero","Miercoles",0,"Alta Verapaz","San Pedro Carchá","Rural","Ignorado","Hombre","39","35-39","Mayor","Normal","Jeep","Rojo","Choque"
141,18,"Enero","Miercoles",7,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","33","30-34","Mayor","Normal","Motocicleta","Ignorado","Choque"
142,18,"Enero","Miercoles",10,"Petén","Flores","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Amarillo","Colisión"
143,18,"Enero","Miercoles",16,"Petén","Dolores","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Mototaxi","Rojo","Caida"
144,18,"Enero","Miercoles",19,"Petén","La Libertad_duplicated_1705","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Camion","Ignorado","Colisión"
145,18,"Enero","Miercoles",6,"Quiché","San Pedro Jocopilas","Rural","Ignorado","Hombre","19","15-19","Mayor","Ignorado","Camion","Rojo","Vuelco"
146,19,"Enero","Jueves",20,"Guatemala","Guatemala","Urbano","1","Hombre","30","30-34","Mayor","Bajo efectos de alcohol","Automovil","Ignorado","Colisión"
147,19,"Enero","Jueves",3,"Guatemala","Guatemala","Urbano","18","Hombre","22","20-24","Mayor","Ignorado","Automovil","Negro","Choque"
148,19,"Enero","Jueves",23,"Guatemala","Guatemala","Urbano","18","Mujer","29","25-29","Mayor","Normal","Automovil","Negro","Colisión"
149,19,"Enero","Jueves",16,"Guatemala","Guatemala","Urbano","6","Hombre","Ignorado","Ignorado","Mayor","Normal","Motocicleta","Azul","Colisión"
150,19,"Enero","Jueves",0,"Guatemala","Guatemala","Urbano","7","Mujer","41","40-44","Mayor","Ignorado","Automovil","Negro","Vuelco"
151,19,"Enero","Jueves",17,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","63","55 y más","Mayor","Ignorado","Pick up","Corinto","Colisión"
152,19,"Enero","Jueves",22,"El Progreso","El Jícaro","Rural","Ignorado","Hombre","44","40-44","Mayor","Ignorado","Mototaxi","Rojo","Choque"
153,19,"Enero","Jueves",18,"Izabal","Puerto Barrios","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Ignorado","Colisión"
154,20,"Enero","Viernes",18,"Guatemala","Mixco","Urbano","4","Hombre","38","35-39","Mayor","Normal","Bus urbano","Rojo","Colisión"
155,20,"Enero","Viernes",18,"Escuintla","Escuintla","Urbano","1","Hombre","35","35-39","Mayor","Normal","Pick up","Azul","Colisión"
156,20,"Enero","Viernes",10,"Escuintla","La Gomera","Urbano","Ignorado","Hombre","24","20-24","Mayor","Normal","Mototaxi","Rojo","Colisión"
157,20,"Enero","Viernes",14,"Santa Rosa","Chiquimulilla","Rural","Ignorado","Hombre","43","40-44","Mayor","Normal","Motocicleta","Negro","Colisión"
158,20,"Enero","Viernes",14,"Suchitepéquez","Samayac","Urbano","Ignorado","Hombre","31","30-34","Mayor","Normal","Microbus","Verde","Colisión"
159,20,"Enero","Viernes",22,"Huehuetenango","Huehuetenango","Urbano","1","Hombre","56","55 y más","Mayor","Normal","Automovil","Blanco","Colisión"
160,20,"Enero","Viernes",11,"Alta Verapaz","Cobán","Urbano","2","Hombre","25","25-29","Mayor","Normal","camioneta","Blanco","Colisión"
161,20,"Enero","Viernes",17,"Quiché","Santa Cruz del Quiché","Rural","Ignorado","Hombre","46","45-49","Mayor","Normal","Pick up","Azul","Caida"
162,20,"Enero","Viernes",14,"Chimaltenango","Tecpán Guatemala","Urbano","2","Hombre","46","45-49","Mayor","Bajo efectos de alcohol","Pick up","Beige","Colisión"
163,21,"Enero","Sabado",21,"Guatemala","Guatemala","Urbano","1","Hombre","29","25-29","Mayor","Normal","Bus urbano","Rojo","Colisión"
164,21,"Enero","Sabado",7,"Guatemala","Guatemala","Urbano","9","Mujer","36","35-39","Mayor","Normal","Automovil","Blanco","Colisión"
165,21,"Enero","Sabado",20,"Guatemala","Guatemala","Urbano","1","Hombre","25","25-29","Mayor","Normal","Motocicleta","Azul","Colisión"
166,21,"Enero","Sabado",18,"Guatemala","Guatemala","Urbano","1","Hombre","32","30-34","Mayor","Normal","Motocicleta","Negro","Choque"
167,21,"Enero","Sabado",22,"Guatemala","Guatemala","Urbano","6","Hombre","31","30-34","Mayor","Normal","Automovil","Corinto","Colisión"
168,21,"Enero","Sabado",15,"Guatemala","Guatemala","Urbano","5","Mujer","27","25-29","Mayor","Normal","Pick up","Verde","Colisión"
169,21,"Enero","Sabado",2,"Guatemala","Guatemala","Urbano","7","Hombre","26","25-29","Mayor","Bajo efectos de alcohol","Motocicleta","Ignorado","Colisión"
170,21,"Enero","Sabado",2,"Guatemala","Guatemala","Urbano","11","Hombre","25","25-29","Mayor","Ignorado","Pick up","Blanco","Colisión"
