<<<<<<< Updated upstream
"num_vehí","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_pil","edad_m1","condic_pil","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
15,1,"Enero","Domingo",16,"Jalapa","San Luis Jilotepeque","Rural","Ignorado","Hombre","23","20-24","Mayor","Normal","Motocicleta","Rojo","2005","Colisión"
16,1,"Enero","Domingo",2,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","45","45-49","Mayor","Ebrio","Automovil","Corinto","1978","Colisión"
17,1,"Enero","Domingo",2,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","19","15-19","Mayor","Ebrio","Automovil","Negro","1995","Colisión"
18,1,"Enero","Domingo",0,"Zacapa","Zacapa","Rural","Ignorado","Hombre","33","30-34","Mayor","Ebrio","Pick up","Verde","1994","Vuelco"
19,1,"Enero","Domingo",19,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Ebrio","Camioneta","Beige","Ignorado","Choque"
20,1,"Enero","Domingo",18,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","58","55 y más","Mayor","Ebrio","Camioneta","Beige","Ignorado","Colisión"
21,1,"Enero","Domingo",18,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","41","40-44","Mayor","Normal","Camioneta","Blanco","2003","Colisión"
22,1,"Enero","Domingo",18,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","42","40-44","Mayor","Normal","Pick up","Verde","1995","Colisión"
23,1,"Enero","Domingo",22,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","38","35-39","Mayor","Normal","Pick up","Azúl","Ignorado","Colisión"
24,1,"Enero","Domingo",22,"Zacapa","Río Hondo","Rural","Ignorado","Hombre","58","55 y más","Mayor","Normal","Pick up","Negro","2010","Colisión"
25,1,"Enero","Domingo",17,"Escuintla","Escuintla","Rural","Ignorado","Hombre","35","35-39","Mayor","Ebrio","Pick up","Amarillo","2004","Vuelco"
26,1,"Enero","Domingo",11,"Escuintla","Escuintla","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Ignorado","Ignorado","Vuelco"
27,1,"Enero","Domingo",12,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Hombre","76","55 y más","Mayor","Normal","Pick up","Ignorado","Ignorado","Vuelco"
28,1,"Enero","Domingo",11,"Retalhuleu","San Sebastián","Rural","Ignorado","Hombre","27","25-29","Mayor","Ebrio","Pick up","Gris","Ignorado","Colisión"
29,1,"Enero","Domingo",11,"Retalhuleu","San Sebastián","Rural","Ignorado","Hombre","43","40-44","Mayor","Normal","Automovil","Negro","2002","Colisión"
30,1,"Enero","Domingo",19,"Quetzaltenango","San Francisco la Unión","Rural","Ignorado","Hombre","28","25-29","Mayor","Ebrio","Pick up","Negro","1990","Colisión"
31,1,"Enero","Domingo",19,"Quetzaltenango","San Francisco la Unión","Rural","Ignorado","Hombre","19","15-19","Mayor","Ebrio","Pick up","Rojo","Ignorado","Colisión"
32,1,"Enero","Domingo",14,"San Marcos","San Antonio Sacatepéquez","Rural","Ignorado","Hombre","29","25-29","Mayor","Ebrio","Pick up","Rojo","Ignorado","Colisión"
33,1,"Enero","Domingo",14,"San Marcos","San Antonio Sacatepéquez","Rural","Ignorado","Hombre","29","25-29","Mayor","Normal","Automovil","Beige","2000","Colisión"
34,1,"Enero","Domingo",4,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","29","25-29","Mayor","Normal","Pick up","Negro","Ignorado","Vuelco"
35,1,"Enero","Domingo",15,"Huehuetenango","Huehuetenango","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Camioneta","Ignorado","Ignorado","Colisión"
36,1,"Enero","Domingo",15,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","24","20-24","Mayor","Ignorado","Pick up","Cafe","Ignorado","Colisión"
37,1,"Enero","Domingo",6,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","29","25-29","Mayor","Ebrio","Pick up","Negro","Ignorado","Vuelco"
38,1,"Enero","Domingo",13,"Baja Verapaz","San Jerónimo","Rural","Ignorado","Hombre","26","25-29","Mayor","Ebrio","Motocicleta","Negro","Ignorado","Choque"
39,1,"Enero","Domingo",17,"El Progreso","Guastatoya","Rural","Ignorado","Hombre","27","25-29","Mayor","Ebrio","Mototaxi","Rojo","2009","Vuelco"
40,1,"Enero","Domingo",2,"Izabal","Puerto Barrios","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
41,1,"Enero","Domingo",2,"Izabal","Puerto Barrios","Rural","Ignorado","Mujer","19","15-19","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
42,1,"Enero","Domingo",2,"Petén","Poptún","Rural","Ignorado","Hombre","46","45-49","Mayor","Normal","Pick up","Ignorado","Ignorado","Vuelco"
43,1,"Enero","Domingo",14,"Solola","Sololá","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Pick up","Rojo","Ignorado","Choque"
44,2,"Enero","Lunes",22,"Guatemala","Guatemala","Urbano","3","Hombre","38","35-39","Mayor","Normal","Automovil","Blanco","2002","Colisión"
45,2,"Enero","Lunes",22,"Guatemala","Guatemala","Urbano","3","Hombre","18","15-19","Mayor","Normal","Automovil","Blanco","Ignorado","Colisión"
46,2,"Enero","Lunes",22,"Guatemala","Fraijanes","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Normal","Pick up","Rojo","Ignorado","Colisión"
47,2,"Enero","Lunes",22,"Guatemala","Fraijanes","Rural","Ignorado","Hombre","23","20-24","Mayor","Normal","Motocicleta","Rojo","Ignorado","Colisión"
48,2,"Enero","Lunes",13,"Guatemala","Mixco","Urbano","3","Hombre","33","30-34","Mayor","Ebrio","Automovil","Verde","1994","Colisión"
49,2,"Enero","Lunes",13,"Guatemala","Mixco","Urbano","3","Hombre","42","40-44","Mayor","Normal","Automovil","Blanco","1991","Colisión"
50,2,"Enero","Lunes",13,"Guatemala","Mixco","Urbano","3","Hombre","21","20-24","Mayor","Normal","Bus urbano","Rojo","Ignorado","Colisión"
51,2,"Enero","Lunes",22,"Guatemala","Mixco","Urbano","4","Hombre","30","30-34","Mayor","Normal","Motocicleta","Rojo","Ignorado","Vuelco"
52,2,"Enero","Lunes",10,"Chiquimula","San Jacinto","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Pick up","Ignorado","Ignorado","Vuelco"
53,2,"Enero","Lunes",17,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","32","30-34","Mayor","Normal","Pick up","Gris","1994","Colisión"
54,2,"Enero","Lunes",17,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","54","50-54","Mayor","Normal","Pick up","Negro","1987","Colisión"
55,2,"Enero","Lunes",17,"Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","21","20-24","Mayor","Normal","Microbus","Blanco","2007","Colisión"
56,2,"Enero","Lunes",22,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","45","45-49","Mayor","Ebrio","Automovil","Anaranjado","1986","Colisión"
57,2,"Enero","Lunes",22,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","29","25-29","Mayor","Normal","Microbus","Azúl","2008","Colisión"
58,2,"Enero","Lunes",7,"Suchitepéquez","Mazatenango","Urbano","1","Hombre","22","20-24","Mayor","Ignorado","Motocicleta","Rojo","2001","Choque"
59,2,"Enero","Lunes",21,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","38","35-39","Mayor","Normal","Pick up","Corinto","1998","Vuelco"
60,2,"Enero","Lunes",22,"El Progreso","Sansare","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Ignorado","Ignorado","Choque"
61,2,"Enero","Lunes",11,"Solola","Sololá","Rural","Ignorado","Hombre","58","55 y más","Mayor","Normal","Microbus","Verde","2005","Colisión"
62,2,"Enero","Lunes",11,"Solola","Sololá","Rural","Ignorado","Hombre","42","40-44","Mayor","Normal","Cabezal","Negro","Ignorado","Colisión"
63,2,"Enero","Lunes",16,"Solola","Panajachel","Rural","Ignorado","Hombre","56","55 y más","Mayor","Normal","Pick up","Corinto","Ignorado","Colisión"
64,3,"Enero","Martes",19,"Guatemala","Palencia","Rural","Ignorado","Hombre","24","20-24","Mayor","Normal","Motocicleta","Rojo","1986","Vuelco"
65,3,"Enero","Martes",6,"Guatemala","Fraijanes","Rural","Ignorado","Hombre","25","25-29","Mayor","Ignorado","Cabezal","Beige","Ignorado","Colisión"
66,3,"Enero","Martes",6,"Guatemala","Fraijanes","Rural","Ignorado","Mujer","26","25-29","Mayor","Ignorado","Automovil","Verde","Ignorado","Colisión"
67,3,"Enero","Martes",6,"Guatemala","Fraijanes","Rural","Ignorado","Hombre","33","30-34","Mayor","Ignorado","Camioneta","Cafe","1986","Colisión"
68,3,"Enero","Martes",18,"Guatemala","Guatemala","Urbano","10","Hombre","53","50-54","Mayor","Normal","Automovil","Rojo","2008","Colisión"
69,3,"Enero","Martes",18,"Guatemala","Guatemala","Urbano","10","Mujer","35","35-39","Mayor","Normal","Camioneta","Gris","2001","Colisión"
70,3,"Enero","Martes",9,"Suchitepéquez","Rio Bravo","Rural","Ignorado","Hombre","76","55 y más","Mayor","Normal","Camión","Ignorado","Ignorado","Colisión"
71,3,"Enero","Martes",8,"Quiché","Chajul","Rural","Ignorado","Hombre","36","35-39","Mayor","Normal","Microbus","Verde","2009","Colisión"
72,3,"Enero","Martes",8,"Quiché","Chajul","Rural","Ignorado","Hombre","27","25-29","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
73,3,"Enero","Martes",15,"Quiché","Santa Cruz del Quiché","Rural","Ignorado","Hombre","29","25-29","Mayor","Normal","Camioneta","Blanco","Ignorado","Choque"
74,3,"Enero","Martes",9,"Suchitepéquez","Rio Bravo","Rural","Ignorado","Hombre","31","30-34","Mayor","Normal","Pick up","Blanco","1999","Colisión"
75,4,"Enero","Miercoles",16,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","37","35-39","Mayor","Normal","Camión","Azúl","Ignorado","Colisión"
76,4,"Enero","Miercoles",16,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","23","20-24","Mayor","Normal","Motocicleta","Corinto","Ignorado","Colisión"
77,4,"Enero","Miercoles",10,"Guatemala","Villa Nueva","Rural","Ignorado","Hombre","44","40-44","Mayor","Normal","Pick up","Verde","Ignorado","Choque"
78,4,"Enero","Miercoles",19,"Escuintla","Escuintla","Urbano","1","Hombre","25","25-29","Mayor","Normal","Pick up","Rojo","Ignorado","Colisión"
79,4,"Enero","Miercoles",19,"Escuintla","Escuintla","Urbano","1","Mujer","21","20-24","Mayor","Normal","Motocicleta","Gris","Ignorado","Colisión"
80,5,"Enero","Jueves",18,"Guatemala","Guatemala","Urbano","6","Hombre","38","35-39","Mayor","Normal","Jeep","Gris","2003","Colisión"
81,5,"Enero","Jueves",18,"Guatemala","Guatemala","Urbano","6","Hombre","17","15-19","Menor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
82,5,"Enero","Jueves",21,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","20","20-24","Mayor","Ebrio","Automovil","Gris","2006","Colisión"
83,5,"Enero","Jueves",21,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Mujer","42","40-44","Mayor","Normal","Camioneta","Corinto","2008","Colisión"
84,5,"Enero","Jueves",9,"Guatemala","Villa Nueva","Urbano","12","Hombre","36","35-39","Mayor","Normal","Pick up","Morado","Ignorado","Colisión"
85,5,"Enero","Jueves",9,"Guatemala","Villa Nueva","Urbano","12","Hombre","20","20-24","Mayor","Normal","Motocicleta","Rojo","Ignorado","Colisión"
86,5,"Enero","Jueves",18,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","40","40-44","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
87,5,"Enero","Jueves",18,"Izabal","Puerto Barrios","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Cabezal","Ignorado","Ignorado","Colisión"
88,6,"Enero","Viernes",20,"Escuintla","Escuintla","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Cabezal","Blanco","1999","Colisión"
89,6,"Enero","Viernes",20,"Escuintla","Escuintla","Rural","Ignorado","Hombre","38","35-39","Mayor","Ignorado","Pick up","Blanco","1981","Colisión"
90,6,"Enero","Viernes",11,"Quiché","Santa Cruz del Quiché","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Mototaxi","Rojo","Ignorado","Caida"
91,7,"Enero","Sábado",21,"Guatemala","Guatemala","Urbano","1","Hombre","31","30-34","Mayor","Normal","Camioneta","Blanco","Ignorado","Colisión"
92,7,"Enero","Sábado",21,"Guatemala","Guatemala","Urbano","1","Hombre","27","25-29","Mayor","Normal","Pick up","Negro","Ignorado","Colisión"
93,7,"Enero","Sábado",22,"Guatemala","Guatemala","Urbano","17","Hombre","25","25-29","Mayor","Normal","Automovil","Blanco","2000","Colisión"
94,7,"Enero","Sábado",22,"Guatemala","Guatemala","Urbano","17","Hombre","33","30-34","Mayor","Normal","Pick up","Rojo","1987","Colisión"
95,7,"Enero","Sábado",18,"Jutiapa","Jutiapa","Rural","Ignorado","Hombre","36","35-39","Mayor","Ignorado","Motocicleta","Rojo","2010","Colisión"
96,7,"Enero","Sábado",18,"Jutiapa","Jutiapa","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Bus urbano","Blanco","Ignorado","Colisión"
97,7,"Enero","Sábado",20,"Santa Rosa","Barberena","Rural","Ignorado","Hombre","56","55 y más","Mayor","Ignorado","Camión","Blanco","Ignorado","Colisión"
98,7,"Enero","Sábado",20,"Santa Rosa","Barberena","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Ignorado","Camioneta","Gris","Ignorado","Colisión"
99,7,"Enero","Sábado",11,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","32","30-34","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
100,7,"Enero","Sábado",11,"Retalhuleu","Retalhuleu","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Ignorado","Ignorado","Colisión"
101,7,"Enero","Sábado",22,"Quetzaltenango","Quetzaltenango","Rural","Ignorado","Hombre","21","20-24","Mayor","Ebrio","Microbus","Rojo","Ignorado","Colisión"
102,7,"Enero","Sábado",22,"Quetzaltenango","Quetzaltenango","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Verde","1994","Colisión"
103,7,"Enero","Sábado",1,"Baja Verapaz","Salamá","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Automovil","Azúl","Ignorado","Choque"
104,7,"Enero","Sábado",13,"El Progreso","Guastatoya","Rural","Ignorado","Hombre","60","55 y más","Mayor","Normal","Automovil","Verde","1997","Choque"
105,7,"Enero","Sábado",12,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","32","30-34","Mayor","Normal","Automovil","Gris","2001","Colisión"
106,7,"Enero","Sábado",12,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","51","50-54","Mayor","Normal","Camioneta","Blanco","2002","Colisión"
107,8,"Enero","Domingo",21,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","25","25-29","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
108,8,"Enero","Domingo",21,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
109,8,"Enero","Domingo",1,"Huehuetenango","Huehuetenango","Rural","Ignorado","Hombre","49","45-49","Mayor","Ebrio","Pick up","Ignorado","Ignorado","Choque"
110,8,"Enero","Domingo",1,"Guatemala","Guatemala","Urbano","12","Hombre","23","20-24","Mayor","Ignorado","Automovil","Ignorado","2003","Choque"
111,8,"Enero","Domingo",16,"Petén","San Andrés","Urbano","Ignorado","Hombre","28","25-29","Mayor","Ignorado","Motocicleta","Ignorado","Ignorado","Choque"
112,8,"Enero","Domingo",1,"Guatemala","Mixco","Urbano","7","Hombre","29","25-29","Mayor","Ignorado","Automovil","Gris","Ignorado","Colisión"
113,8,"Enero","Domingo",1,"Guatemala","Mixco","Urbano","7","Hombre","Ignorado","Ignorado","Mayor","Ignorado","Pick up","Negro","Ignorado","Colisión"
114,9,"Enero","Lunes",0,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","22","20-24","Mayor","Ignorado","Motocicleta","Ignorado","Ignorado","Vuelco"
115,9,"Enero","Lunes",15,"Guatemala","Petapa","Urbano","9","Hombre","36","35-39","Mayor","Ignorado","Pick up","Rojo","Ignorado","Colisión"
116,9,"Enero","Lunes",15,"Guatemala","Petapa","Urbano","9","Hombre","44","40-44","Mayor","Ignorado","Pick up","Blanco","1986","Colisión"
117,9,"Enero","Lunes",16,"Quetzaltenango","San Juan Ostuncalco","Rural","Ignorado","Hombre","39","35-39","Mayor","Ebrio","Camión","Blanco","1990","Colisión"
118,9,"Enero","Lunes",16,"Quetzaltenango","San Juan Ostuncalco","Rural","Ignorado","Mujer","24","20-24","Mayor","Normal","Automovil","Anaranjado","2011","Colisión"
119,9,"Enero","Lunes",11,"Huehuetenango","Cuilco","Rural","Ignorado","Hombre","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Ignorado","Ignorado","Vuelco"
120,9,"Enero","Lunes",20,"Totonicapán","San Francisco el Alto","Rural","Ignorado","Hombre","44","40-44","Mayor","Ebrio","Pick up","Gris","Ignorado","Colisión"
121,9,"Enero","Lunes",20,"Totonicapán","San Francisco el Alto","Rural","Ignorado","Hombre","36","35-39","Mayor","Normal","Pick up","Amarillo","2006","Colisión"
122,9,"Enero","Lunes",7,"Solola","San Pedro La Laguna","Rural","Ignorado","Hombre","34","30-34","Mayor","Normal","Camión","Anaranjado","1995","Vuelco"
123,9,"Enero","Lunes",5,"Chimaltenango","Patzicía","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Bus extraurbano","Verde","Ignorado","Vuelco"
124,9,"Enero","Lunes",7,"Chimaltenango","Tecpán Guatemala","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Bus extraurbano","Verde","Ignorado","Vuelco"
125,9,"Enero","Lunes",15,"Sacatepéquez","Santiago Sactepéquez","Rural","Ignorado","Hombre","27","25-29","Mayor","Ebrio","Pick up","Negro","Ignorado","Choque"
126,9,"Enero","Lunes",11,"Sacatepéquez","San Lucas Sacatepéquez","Rural","Ignorado","Hombre","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Blanco","Ignorado","Vuelco"
127,10,"Enero","Martes",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","32","30-34","Mayor","Normal","Motocicleta","Celeste","Ignorado","Colisión"
128,10,"Enero","Martes",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","26","25-29","Mayor","Normal","Motocicleta","Gris","2006","Colisión"
129,10,"Enero","Martes",12,"Quetzaltenango","Quetzaltenango","Urbano","1","Hombre","24","20-24","Mayor","Normal","Automovil","Verde","Ignorado","Colisión"
130,10,"Enero","Martes",12,"Quetzaltenango","Quetzaltenango","Urbano","1","Hombre","26","25-29","Mayor","Normal","Motocicleta","Negro","2012","Colisión"
131,10,"Enero","Martes",1,"Quetzaltenango","Olintepeque","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Bus urbano","Rojo","1992","Colisión"
132,10,"Enero","Martes",1,"Quetzaltenango","Olintepeque","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Bus urbano","Verde","1992","Colisión"
133,10,"Enero","Martes",19,"San Marcos","San Pedro Sacatepéquez_duplicated_1202","Rural","Ignorado","Hombre","31","30-34","Mayor","Ebrio","Microbus","Negro","1989","Choque"
134,11,"Enero","Miercoles",9,"Guatemala","Villa Nueva","Rural","4","Hombre","23","20-24","Mayor","Normal","Motocicleta","Negro","2007","Colisión"
135,11,"Enero","Miercoles",9,"Guatemala","Villa Nueva","Rural","4","Hombre","Ignorado","Ignorado","Mayor","Normal","Cabezal","Gris","1997","Colisión"
136,11,"Enero","Miercoles",11,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","31","30-34","Mayor","Normal","Grua","Ignorado","Ignorado","Vuelco"
137,11,"Enero","Miercoles",17,"Escuintla","Palín","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Normal","Camión","Ignorado","Ignorado","Colisión"
138,11,"Enero","Miercoles",17,"Escuintla","Palín","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Normal","Cabezal","Ignorado","Ignorado","Colisión"
139,11,"Enero","Miercoles",18,"Escuintla","Palín","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Bus extraurbano","Verde","Ignorado","Vuelco"
140,11,"Enero","Miercoles",18,"Quetzaltenango","Quetzaltenango","Rural","2","Hombre","35","35-39","Mayor","Normal","Pick up","Blanco","2004","Colisión"
141,11,"Enero","Miercoles",18,"Quetzaltenango","Quetzaltenango","Rural","2","Hombre","30","30-34","Mayor","Normal","Motocicleta","Rojo","2008","Colisión"
142,11,"Enero","Miercoles",20,"Totonicapán","San Francisco el Alto","Urbano","1","Ignorado","Ignorado","Ignorado","Ignorado","Normal","Pick up","Ignorado","Ignorado","Colisión"
143,11,"Enero","Miercoles",20,"Totonicapán","San Francisco el Alto","Urbano","1","Hombre","25","25-29","Mayor","Normal","Motocicleta","Amarillo","2007","Colisión"
144,12,"Enero","Jueves",0,"Guatemala","Guatemala","Urbano","3","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Negro","Ignorado","Colisión"
145,12,"Enero","Jueves",0,"Guatemala","Guatemala","Urbano","3","Hombre","21","20-24","Mayor","Normal","Pick up","Verde","Ignorado","Colisión"
146,12,"Enero","Jueves",5,"Guatemala","Guatemala","Urbano","6","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Azúl","Ignorado","Choque"
147,12,"Enero","Jueves",21,"Guatemala","Petapa","Urbano","Ignorado","Hombre","23","20-24","Mayor","Normal","Automovil","Azúl","1992","Colisión"
148,12,"Enero","Jueves",21,"Guatemala","Petapa","Urbano","Ignorado","Hombre","21","20-24","Mayor","Normal","Motocicleta","Azúl","Ignorado","Colisión"
149,12,"Enero","Jueves",18,"Jalapa","San Pedro Pinula","Rural","Ignorado","Hombre","19","15-19","Mayor","Ebrio","Motocicleta","Rojo","Ignorado","Choque"
150,12,"Enero","Jueves",8,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","51","50-54","Mayor","Normal","Automovil","Corinto","1994","Colisión"
151,12,"Enero","Jueves",8,"Chiquimula","Esquipulas","Rural","Ignorado","Hombre","42","40-44","Mayor","Normal","Camión","Amarillo","1997","Colisión"
152,12,"Enero","Jueves",8,"Escuintla","Santa Lucía Cotzumalguapa","Rural","Ignorado","Hombre","24","20-24","Mayor","Normal","Camión","Blanco","1998","Choque"
153,12,"Enero","Jueves",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","36","35-39","Mayor","Normal","Bus extraurbano","Blanco","Ignorado","Colisión"
154,12,"Enero","Jueves",20,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","30","30-34","Mayor","Normal","Motocicleta","Negro","Ignorado","Colisión"
155,12,"Enero","Jueves",10,"San Marcos","San Pedro Sacatepéquez_duplicated_1202","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Gris","Ignorado","Vuelco"
156,12,"Enero","Jueves",9,"Alta Verapaz","Lanquín","Rural","Ignorado","Hombre","26","25-29","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
157,12,"Enero","Jueves",9,"Alta Verapaz","Lanquín","Rural","Ignorado","Hombre","24","20-24","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
158,12,"Enero","Jueves",15,"Quiché","Chiché","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Microbus","Verde","Ignorado","Vuelco"
159,13,"Enero","Sábado",4,"Guatemala","Guatemala","Rural","11","Hombre","22","20-24","Mayor","Ebrio","Automovil","Blanco","2001","Choque"
160,13,"Enero","Sábado",17,"Jalapa","Monjas","Urbano","Ignorado","Hombre","22","20-24","Mayor","Normal","Motocicleta","Azúl","Ignorado","Colisión"
161,13,"Enero","Sábado",17,"Jalapa","Monjas","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Azúl","Ignorado","Colisión"
162,13,"Enero","Sábado",23,"Zacapa","Gualán","Urbano","Ignorado","Hombre","31","30-34","Mayor","Ignorado","Pick up","Gris","1987","Choque"
