<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","g_hora","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_2","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","estado_pil"
60,7,"Enero","Lunes",11,"06:00 a 11:59","Totonicapán","Momostenango","Rural","Ignorado","Hombre","40","40-44","Mayor","Pick up","Ignorado","IGNORADO","Colisión","Toyota","Normal"
61,7,"Enero","Lunes",2,"00:00 a 05:59","Sacatepéquez","Alotenango","Urbano","1","Hombre","19","15-19","Mayor","Motocicleta","Rojo","IGNORADO","Choque","Ignorado","Ignorado"
62,8,"Enero","Martes",12,"12:00 a 17:59","Zacapa","Zacapa","Rural","Ignorado","Hombre","23","20-24","Mayor","Mototaxi","Ignorado","IGNORADO","Vuelco","Ignorado","Ignorado"
63,8,"Enero","Martes",11,"06:00 a 11:59","Guatemala","Petapa","Urbano","7","Hombre","39","35-39","Mayor","Camión","Blanco","IGNORADO","Colisión","International","Normal"
64,8,"Enero","Martes",6,"06:00 a 11:59","Chimaltenango","El Tejar","Rural","Ignorado","Hombre","36","35-39","Mayor","Pick up","Azul","IGNORADO","Colisión","Toyota","Ignorado"
65,8,"Enero","Martes",17,"12:00 a 17:59","Zacapa","San Diego","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Mototaxi","Rojo","IGNORADO","Colisión","Bajaj","Ignorado"
66,8,"Enero","Martes",19,"18:00 a 23:59","San Marcos","Pajapita","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Corinto","IGNORADO","Choque","Toyota","Ignorado"
67,9,"Enero","Miercoles",7,"06:00 a 11:59","Guatemala","Guatemala","Urbano","11","Hombre","28","25-29","Mayor","Bus urbano","Ignorado","IGNORADO","Colisión","International","Normal"
68,9,"Enero","Miercoles",8,"06:00 a 11:59","Solola","Santa Lucia Utatlán","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Microbus","Blanco","IGNORADO","Vuelco","Toyota","Ignorado"
69,10,"Enero","Jueves",8,"06:00 a 11:59","Guatemala","Guatemala","Urbano","11","Hombre","40","40-44","Mayor","Pick up","Rojo","1984","Colisión","Chevrolet","Ebrio"
70,10,"Enero","Jueves",15,"12:00 a 17:59","Guatemala","Guatemala","Urbano","21","Mujer","38","35-39","Mayor","Camioneta","Azul","IGNORADO","Colisión","Mitsubishi","Normal"
71,10,"Enero","Jueves",11,"06:00 a 11:59","Chiquimula","Jocotán","Rural","Ignorado","Hombre","56","55-59","Mayor","Pick up","Verde","IGNORADO","Vuelco","Mitsubishi","Normal"
72,10,"Enero","Jueves",7,"06:00 a 11:59","Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","36","35-39","Mayor","Microbus","Gris","2009","Colisión","Mitsubishi","Normal"
73,10,"Enero","Jueves",20,"18:00 a 23:59","Suchitepéquez","Mazatenango","Rural","Ignorado","Mujer","27","25-29","Mayor","Automovil","Blanco","1999","Colisión","Mitsubishi","Ebrio"
74,10,"Enero","Jueves",20,"18:00 a 23:59","Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","25","25-29","Mayor","Motocicleta","Negro","IGNORADO","Vuelco","Bajaj","Normal"
75,10,"Enero","Jueves",14,"12:00 a 17:59","San Marcos","San Pedro Sacatepéquez_duplicated_1202","Rural","Ignorado","Hombre","19","15-19","Mayor","Microbus","Ignorado","2009","Colisión","Toyota","Normal"
76,10,"Enero","Jueves",4,"00:00 a 05:59","Alta Verapaz","San Pedro Carchá","Rural","Ignorado","Hombre","32","30-34","Mayor","Automovil","Blanco","2007","Colisión","Mitsubishi","Ebrio"
77,10,"Enero","Jueves",20,"18:00 a 23:59","Quiché","Santa Cruz del Quiché","Urbano","1","Hombre","23","20-24","Mayor","Pick up","Celeste","1981","Choque","Toyota","Ebrio"
78,10,"Enero","Jueves",5,"00:00 a 05:59","Chimaltenango","Chimaltenango","Rural","Ignorado","Hombre","24","20-24","Mayor","Motocicleta","Rojo","IGNORADO","Choque","Bajaj","Normal"
79,11,"Enero","Viernes",9,"06:00 a 11:59","Guatemala","Guatemala","Urbano","1","Mujer","36","35-39","Mayor","Automovil","Gris","IGNORADO","Colisión","Mitsubishi","Normal"
80,11,"Enero","Viernes",7,"06:00 a 11:59","Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","24","20-24","Mayor","Camión","Blanco","IGNORADO","Colisión","Ford","Normal"
81,11,"Enero","Viernes",1,"00:00 a 05:59","Guatemala","Guatemala","Urbano","11","Hombre","42","40-44","Mayor","Automovil","Gris","IGNORADO","Choque","Honda","Normal"
82,11,"Enero","Viernes",19,"18:00 a 23:59","Guatemala","Villa Nueva","Urbano","6","Hombre","30","30-34","Mayor","Pick up","Rojo","IGNORADO","Colisión","Toyota","Normal"
83,11,"Enero","Viernes",18,"18:00 a 23:59","Escuintla","San José","Rural","Ignorado","Hombre","34","30-34","Mayor","Motocicleta","Corinto","IGNORADO","Colisión","Bajaj","Normal"
84,11,"Enero","Viernes",8,"06:00 a 11:59","Suchitepéquez","Cuyotenango","Rural","Ignorado","Hombre","30","30-34","Mayor","Automovil","Verde","1996","Colisión","Toyota","Normal"
85,11,"Enero","Viernes",4,"00:00 a 05:59","San Marcos","San Marcos","Rural","Ignorado","Hombre","29","25-29","Mayor","Pick up","Blanco","1997","Choque","Mitsubishi","Ebrio"
86,11,"Enero","Viernes",5,"00:00 a 05:59","Alta Verapaz","Chisec","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Ignorado","IGNORADO","Colisión","Ignorado","Ignorado"
87,11,"Enero","Viernes",16,"12:00 a 17:59","Izabal","Los Amates","Rural","Ignorado","Hombre","31","30-34","Mayor","Camión","Negro","IGNORADO","Choque","Ford","Ebrio"
88,11,"Enero","Viernes",16,"12:00 a 17:59","Izabal","Puerto Barrios","Rural","Ignorado","Hombre","43","40-44","Mayor","Automovil","Rojo","2000","Colisión","Mazda","Normal"
89,11,"Enero","Viernes",19,"18:00 a 23:59","Solola","Santa Catalina Ixtahuacán","Rural","Ignorado","Hombre","20","20-24","Mayor","Automovil","Blanco","IGNORADO","Colisión","Chevrolet","Normal"
90,12,"Enero","Sabado",23,"18:00 a 23:59","Guatemala","Guatemala","Urbano","1","Hombre","31","30-34","Mayor","Automovil","Gris","1999","Colisión","Nissan_duplicated_37","Ebrio"
91,12,"Enero","Sabado",1,"00:00 a 05:59","Guatemala","Guatemala","Urbano","1","Hombre","29","25-29","Mayor","Automovil","Negro","1993","Choque","Geo","Ebrio"
92,12,"Enero","Sabado",21,"18:00 a 23:59","Guatemala","Guatemala","Urbano","1","Hombre","38","35-39","Mayor","Bus urbano","Blanco","IGNORADO","Colisión","Ignorado","Normal"
93,12,"Enero","Sabado",9,"06:00 a 11:59","Guatemala","Guatemala","Urbano","18","Hombre","40","40-44","Mayor","Motocicleta","Ignorado","IGNORADO","Colisión","Ignorado","Normal"
94,12,"Enero","Sabado",18,"18:00 a 23:59","Guatemala","San Pedro Ayampuc","Rural","Ignorado","Hombre","32","30-34","Mayor","Motocicleta","Ignorado","IGNORADO","Vuelco","Ignorado","Normal"
95,12,"Enero","Sabado",21,"18:00 a 23:59","Guatemala","Guatemala","Urbano","13","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","IGNORADO","Colisión","Ignorado","Ignorado"
96,12,"Enero","Sabado",2,"00:00 a 05:59","Guatemala","Guatemala","Urbano","21","Hombre","42","40-44","Mayor","Automovil","Beige","IGNORADO","Colisión","Toyota","Ebrio"
97,12,"Enero","Sabado",23,"18:00 a 23:59","Guatemala","Guatemala","Urbano","12","Hombre","23","20-24","Mayor","Automovil","Rojo","IGNORADO","Colisión","Toyota","Ebrio"
98,12,"Enero","Sabado",19,"18:00 a 23:59","Guatemala","Guatemala","Urbano","7","Hombre","43","40-44","Mayor","Automovil","Beige","1987","Colisión","Toyota","Normal"
99,12,"Enero","Sabado",9,"06:00 a 11:59","Petén","Flores","Rural","Ignorado","Hombre","24","20-24","Mayor","Mototaxi","Ignorado","2006","Colisión","Bajaj","Normal"
100,12,"Enero","Sabado",2,"00:00 a 05:59","Petén","Flores","Rural","Ignorado","Hombre","34","30-34","Mayor","Motocicleta","Ignorado","IGNORADO","Choque","Ignorado","Normal"
101,13,"Enero","Domingo",20,"18:00 a 23:59","Guatemala","Guatemala","Urbano","7","Hombre","53","50-54","Mayor","Camioneta","Azul","1999","Colisión","Ford","Ebrio"
102,13,"Enero","Domingo",15,"12:00 a 17:59","Guatemala","Mixco","Urbano","4","Hombre","48","45-49","Mayor","Automovil","Negro","IGNORADO","Colisión","Ignorado","Normal"
103,13,"Enero","Domingo",18,"18:00 a 23:59","Chiquimula","Chiquimula","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Ignorado","IGNORADO","Vuelco","Ignorado","Ignorado"
104,13,"Enero","Domingo",19,"18:00 a 23:59","Escuintla","Escuintla","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Cabezal","Ignorado","IGNORADO","Colisión","International","Ignorado"
105,13,"Enero","Domingo",15,"12:00 a 17:59","Santa Rosa","Pueblo Nuevo Viñas","Rural","Ignorado","Hombre","53","50-54","Mayor","Automovil","Beige","IGNORADO","Colisión","Honda","Normal"
106,13,"Enero","Domingo",11,"06:00 a 11:59","Santa Rosa","Cuilapa","Rural","Ignorado","Hombre","60","60 y mas","Mayor","Pick up","Rojo","IGNORADO","Choque","Ignorado","Normal"
107,13,"Enero","Domingo",19,"18:00 a 23:59","Suchitepéquez","Cuyotenango","Rural","Ignorado","Hombre","21","20-24","Mayor","Pick up","Azul","1984","Colisión","Toyota","Ebrio"
108,13,"Enero","Domingo",3,"00:00 a 05:59","Suchitepéquez","San Antonio Suchitepéquez","Rural","Ignorado","Hombre","22","20-24","Mayor","Motocicleta","Rojo","2009","Choque","Bajaj","Normal"
109,13,"Enero","Domingo",4,"00:00 a 05:59","San Marcos","San Marcos","Rural","Ignorado","Hombre","41","40-44","Mayor","Motocicleta","Gris","2012","Choque","Mazda","Ebrio"
110,13,"Enero","Domingo",21,"18:00 a 23:59","El Progreso","Guastatoya","Rural","Ignorado","Hombre","40","40-44","Mayor","Cabezal","Rojo","1998","Colisión","Freightliner","Normal"
111,13,"Enero","Domingo",23,"18:00 a 23:59","Chimaltenango","San Martín Jilotepeque","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Blanco","IGNORADO","Colisión","International","Ignorado"
112,14,"Enero","Lunes",20,"18:00 a 23:59","Jutiapa","Moyuta","Rural","Ignorado","Hombre","37","35-39","Mayor","Pick up","Anaranjado","IGNORADO","Colisión","Toyota","Normal"
113,14,"Enero","Lunes",6,"06:00 a 11:59","Escuintla","Guanagazapa","Rural","Ignorado","Hombre","27","25-29","Mayor","Panel","Blanco","IGNORADO","Choque","Ignorado","Normal"
114,14,"Enero","Lunes",7,"06:00 a 11:59","Santa Rosa","Santa Rosa de Lima","Rural","Ignorado","Hombre","25","25-29","Mayor","Pick up","Negro","IGNORADO","Vuelco","Ignorado","Ignorado"
115,14,"Enero","Lunes",19,"18:00 a 23:59","Huehuetenango","Huehuetenango","Urbano","Ignorado","Hombre","23","20-24","Mayor","Pick up","Blanco","IGNORADO","Choque","Dodge_duplicated_11","Ebrio"
116,14,"Enero","Lunes",12,"12:00 a 17:59","Alta Verapaz","San Pedro Carchá","Urbano","1","Hombre","56","55-59","Mayor","Camión","Blanco","IGNORADO","Colisión","Hino","Normal"
117,14,"Enero","Lunes",0,"00:00 a 05:59","Chimaltenango","El Tejar","Rural","Ignorado","Hombre","32","30-34","Mayor","Automovil","Azul","IGNORADO","Choque","Mazda","Normal"
118,15,"Enero","Martes",4,"00:00 a 05:59","Guatemala","Guatemala","Urbano","10","Hombre","31","30-34","Mayor","Camión","Blanco","1988","Colisión","Mercedes benz","Normal"
119,15,"Enero","Martes",2,"00:00 a 05:59","Guatemala","Villa Canales","Rural","Ignorado","Hombre","29","25-29","Mayor","Automovil","Ignorado","IGNORADO","Colisión","Datsun","Ebrio"
120,15,"Enero","Martes",21,"18:00 a 23:59","Jalapa","Jalapa","Urbano","6","Hombre","27","25-29","Mayor","Motocicleta","Rojo","2007","Colisión","Suzuki","Ebrio"
121,15,"Enero","Martes",17,"12:00 a 17:59","Chiquimula","Chiquimula","Rural","Ignorado","Hombre","23","20-24","Mayor","Automovil","Rojo","1992","Colisión","Mazda","Normal"
122,15,"Enero","Martes",16,"12:00 a 17:59","Santa Rosa","Chiquimulilla","Rural","Ignorado","Hombre","34","30-34","Mayor","Motocicleta","Ignorado","IGNORADO","Vuelco","Ignorado","Normal"
123,15,"Enero","Martes",19,"18:00 a 23:59","Totonicapán","Totonicapán","Rural","Ignorado","Hombre","25","25-29","Mayor","Pick up","Gris","IGNORADO","Choque","Toyota","Ebrio"
124,15,"Enero","Martes",2,"00:00 a 05:59","Alta Verapaz","Cobán","Urbano","7","Hombre","19","15-19","Mayor","Automovil","Café","1984","Choque","Toyota","Normal"
125,16,"Enero","Miercoles",13,"12:00 a 17:59","Guatemala","Guatemala","Urbano","9","Mujer","33","30-34","Mayor","Automovil","Azul","IGNORADO","Colisión","Ford","Normal"
126,16,"Enero","Miercoles",16,"12:00 a 17:59","Guatemala","Guatemala","Urbano","9","Mujer","29","25-29","Mayor","Camioneta","Azul","IGNORADO","Colisión","Kia","Normal"
127,16,"Enero","Miercoles",4,"00:00 a 05:59","Guatemala","Guatemala","Urbano","1","Hombre","38","35-39","Mayor","Ignorado","Ignorado","IGNORADO","Choque","Ignorado","Ignorado"
128,16,"Enero","Miercoles",1,"00:00 a 05:59","Guatemala","Guatemala","Urbano","10","Mujer","22","20-24","Mayor","Automovil","Gris","2012","Colisión","Sniper","Normal"
129,16,"Enero","Miercoles",7,"06:00 a 11:59","Guatemala","Villa Nueva","Rural","Ignorado","Hombre","26","25-29","Mayor","Bus urbano","Ignorado","IGNORADO","Colisión","Ford","Normal"
130,16,"Enero","Miercoles",20,"18:00 a 23:59","Escuintla","Escuintla","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Azul","IGNORADO","Colisión","Toyota","Ignorado"
131,16,"Enero","Miercoles",14,"12:00 a 17:59","Suchitepéquez","Zunilito","Rural","Ignorado","Hombre","33","30-34","Mayor","Pick up","Rojo","IGNORADO","Vuelco","Toyota","Normal"
132,16,"Enero","Miercoles",20,"18:00 a 23:59","Quetzaltenango","Salcajá","Rural","Ignorado","Hombre","28","25-29","Mayor","Motocicleta","Azul","IGNORADO","Choque","Bajaj","Ignorado"
133,16,"Enero","Miercoles",19,"18:00 a 23:59","Alta Verapaz","Cobán","Rural","Ignorado","Hombre","29","25-29","Mayor","Automovil","Gris","IGNORADO","Colisión","Nissan_duplicated_37","Ignorado"
134,16,"Enero","Miercoles",11,"06:00 a 11:59","El Progreso","San Agustín Acasagustlán","Rural","Ignorado","Hombre","39","35-39","Mayor","Pick up","Negro","IGNORADO","Colisión","Toyota","Ignorado"
135,16,"Enero","Miercoles",19,"18:00 a 23:59","Solola","San Lucas Tolimán","Rural","Ignorado","Hombre","32","30-34","Mayor","Microbus","Rojo","IGNORADO","Colisión","Toyota","Normal"
136,16,"Enero","Miercoles",7,"06:00 a 11:59","Chimaltenango","Tecpán Guatemala","Urbano","Ignorado","Hombre","50","50-54","Mayor","Pick up","Rojo","IGNORADO","Colisión","Toyota","Normal"
137,17,"Enero","Jueves",0,"00:00 a 05:59","Guatemala","Mixco","Urbano","4","Hombre","29","25-29","Mayor","Automovil","Rojo","2012","Colisión","Mazda","Normal"
